                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.0545,                  1.116,                 1.3264,                0.98447,                      1,                  0.995,                 0.6965,                 1.3382,                 2.0085,                 2.5277,              0.0004298,              0.0004298,              0.0004298
                     72,                0.77517,                 1.1311,                 1.1243,                0.96755,                      1,                  0.995,                0.62179,                 1.4362,                 2.0825,                 2.5705,             0.00042188,             0.00042188,             0.00042188
                     73,                0.78739,                 1.4803,                 1.2372,                0.96755,                      1,                  0.995,                0.62179,                 1.4362,                 2.0825,                 2.5705,             0.00041357,             0.00041357,             0.00041357
                     74,                0.65045,                 1.0183,                 1.1077,                0.96755,                      1,                  0.995,                0.62179,                 1.4362,                 2.0825,                 2.5705,             0.00040486,             0.00040486,             0.00040486
                     75,                 1.2424,                 1.8559,                 1.8446,                0.97177,                      1,                  0.995,                 0.6965,                 1.4761,                 1.9928,                 2.6096,             0.00039575,             0.00039575,             0.00039575
                     76,                0.83109,                 1.2705,                  1.235,                0.97177,                      1,                  0.995,                 0.6965,                 1.4761,                 1.9928,                 2.6096,             0.00038625,             0.00038625,             0.00038625
                     77,                 1.0045,                 1.0612,                 1.2131,                0.97177,                      1,                  0.995,                 0.6965,                 1.4761,                 1.9928,                 2.6096,             0.00037635,             0.00037635,             0.00037635
                     78,                0.75239,                  1.467,                   1.43,                0.97596,                      1,                  0.995,                 0.6965,                 1.3026,                 1.8582,                 2.4266,             0.00036606,             0.00036606,             0.00036606
                     79,                0.91806,                 1.2132,                 1.2015,                0.97596,                      1,                  0.995,                 0.6965,                 1.3026,                 1.8582,                 2.4266,             0.00035537,             0.00035537,             0.00035537
                     80,                 1.0129,                 1.0699,                 1.1259,                0.97596,                      1,                  0.995,                 0.6965,                 1.3026,                 1.8582,                 2.4266,             0.00034428,             0.00034428,             0.00034428
                     81,                0.76554,                 1.0358,                 1.1518,                0.97857,                      1,                  0.995,                0.72129,                   1.15,                  1.748,                 2.2888,              0.0003328,              0.0003328,              0.0003328
                     82,                 0.6846,                 1.0247,                 1.1498,                0.97857,                      1,                  0.995,                0.72129,                   1.15,                  1.748,                 2.2888,             0.00032092,             0.00032092,             0.00032092
                     83,                0.57841,                 1.0025,                  1.115,                0.97857,                      1,                  0.995,                0.72129,                   1.15,                  1.748,                 2.2888,             0.00030865,             0.00030865,             0.00030865
                     84,                 0.7311,                 1.1556,                 1.0911,                0.97632,                      1,                  0.995,                  0.796,                 1.1147,                 1.6101,                 2.2618,             0.00029598,             0.00029598,             0.00029598
                     85,                0.87887,                 1.1996,                 1.3139,                0.97632,                      1,                  0.995,                  0.796,                 1.1147,                 1.6101,                 2.2618,             0.00028291,             0.00028291,             0.00028291
                     86,                0.62011,                0.95101,                 1.0229,                0.97632,                      1,                  0.995,                  0.796,                 1.1147,                 1.6101,                 2.2618,             0.00026945,             0.00026945,             0.00026945
                     87,                0.86414,                 1.1035,                 1.3173,                0.97632,                      1,                  0.995,                  0.796,                 1.1147,                 1.6101,                 2.2618,             0.00025559,             0.00025559,             0.00025559
                     88,                0.74335,                 1.1126,                 1.1787,                0.97736,                      1,                  0.995,                0.72129,                 1.1405,                 1.5683,                 2.2503,             0.00024134,             0.00024134,             0.00024134
                     89,                0.89517,                 1.1845,                 1.2052,                0.97736,                      1,                  0.995,                0.72129,                 1.1405,                 1.5683,                 2.2503,             0.00022669,             0.00022669,             0.00022669
                     90,                0.70837,                0.95931,                 1.0936,                0.97736,                      1,                  0.995,                0.72129,                 1.1405,                 1.5683,                 2.2503,             0.00021164,             0.00021164,             0.00021164
                     91,                0.62306,                 1.2977,                 1.1303,                0.97736,                      1,                  0.995,                0.72129,                 1.1405,                 1.5683,                 2.2503,              0.0001962,              0.0001962,              0.0001962
                     92,                0.41287,                  1.146,                0.88118,                0.97831,                      1,                  0.995,                0.72129,                 1.1477,                 1.4909,                 2.2618,             0.00018036,             0.00018036,             0.00018036
                     93,                0.40032,                 1.1123,                0.91931,                0.97831,                      1,                  0.995,                0.72129,                 1.1477,                 1.4909,                 2.2618,             0.00016413,             0.00016413,             0.00016413
                     94,                0.65662,                  1.264,                 1.0073,                0.97831,                      1,                  0.995,                0.72129,                 1.1477,                 1.4909,                 2.2618,              0.0001475,              0.0001475,              0.0001475
                     95,                0.63721,                 1.3034,                 1.2042,                0.97831,                      1,                  0.995,                0.72129,                 1.1477,                 1.4909,                 2.2618,             0.00013047,             0.00013047,             0.00013047
                     96,                0.41106,                 1.1941,                0.93737,                0.97806,                      1,                  0.995,                0.72129,                 1.1504,                 1.4507,                 2.2393,             0.00011305,             0.00011305,             0.00011305
                     97,                0.49328,                 1.1631,                0.87006,                0.97806,                      1,                  0.995,                0.72129,                 1.1504,                 1.4507,                 2.2393,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                0.42098,                 1.1295,                0.90364,                0.97806,                      1,                  0.995,                0.72129,                 1.1504,                 1.4507,                 2.2393,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                0.37475,                 1.1375,                0.95182,                0.97806,                      1,                  0.995,                0.72129,                 1.1504,                 1.4507,                 2.2393,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                0.54373,                 1.2886,                  1.007,                0.97926,                      1,                  0.995,                0.74604,                 1.1736,                 1.4136,                 2.2567,             3.9402e-05,             3.9402e-05,             3.9402e-05
